,context1,context2,label
0,One more pseudo generalization and I'm giving up.,Is the grammar of this sentence incorrect ?,0
1,One more pseudo generalization or I'm giving up.,Is the grammar of this sentence correct ?,1
2,"The more we study verbs, the crazier they get.",Is the grammar of this sentence correct ?,1
3,Day by day the facts are getting murkier.,Is the grammar of this sentence incorrect ?,0
4,I'll fix you a drink.,Is the grammar of this sentence correct ?,1
5,Fred watered the plants flat.,Is the grammar of this sentence correct ?,1
6,Bill coughed his way out of the restaurant.,Is the grammar of this sentence incorrect ?,0
7,We're dancing the night away.,Is the grammar of this sentence correct ?,1
8,Herman hammered the metal flat.,Is the grammar of this sentence correct ?,1
9,The critics laughed the play off the stage.,Is the grammar of this sentence incorrect ?,0
10,The pond froze solid.,Is the grammar of this sentence correct ?,1
11,Bill rolled out of the room.,Is the grammar of this sentence correct ?,1
12,The gardener watered the flowers flat.,Is the grammar of this sentence incorrect ?,0
13,The gardener watered the flowers.,Is the grammar of this sentence incorrect ?,0
14,Bill broke the bathtub into pieces.,Is the grammar of this sentence correct ?,1
15,Bill broke the bathtub.,Is the grammar of this sentence correct ?,1
16,They drank the pub dry.,Is the grammar of this sentence correct ?,1
17,They drank the pub.,Is the grammar of this sentence incorrect ?,1
18,The professor talked us into a stupor.,Is the grammar of this sentence correct ?,1
19,The professor talked us.,Is the grammar of this sentence incorrect ?,1
20,We yelled ourselves hoarse.,Is the grammar of this sentence correct ?,1
21,We yelled ourselves.,Is the grammar of this sentence incorrect ?,1
22,We yelled Harry hoarse.,Is the grammar of this sentence correct ?,0
23,Harry coughed himself into a fit.,Is the grammar of this sentence incorrect ?,0
24,Harry coughed himself.,Is the grammar of this sentence correct ?,0
25,Harry coughed us into a fit.,Is the grammar of this sentence incorrect ?,1
26,Bill followed the road into the forest.,Is the grammar of this sentence incorrect ?,0
27,We drove Highway 5 from SD to SF.,Is the grammar of this sentence correct ?,1
28,Fred tracked the leak to its source.,Is the grammar of this sentence correct ?,1
29,John danced waltzes across the room.,Is the grammar of this sentence correct ?,1
30,Bill urinated out the window.,Is the grammar of this sentence correct ?,1
31,Bill coughed out the window.,Is the grammar of this sentence correct ?,1
32,Bill bled on the floor.,Is the grammar of this sentence correct ?,1
33,The toilet leaked through the floor into the kitchen below.,Is the grammar of this sentence incorrect ?,0
34,Bill ate off the floor.,Is the grammar of this sentence incorrect ?,0
35,Bill drank from the hose.,Is the grammar of this sentence correct ?,1
36,This metal hammers flat easily.,Is the grammar of this sentence correct ?,1
37,They made him president.,Is the grammar of this sentence incorrect ?,0
38,They made him angry.,Is the grammar of this sentence incorrect ?,0
39,They caused him to become angry by making him.,Is the grammar of this sentence correct ?,0
40,They caused him to become president by making him.,Is the grammar of this sentence correct ?,0
41,They made him to exhaustion.,Is the grammar of this sentence correct ?,0
42,They made him into a monster.,Is the grammar of this sentence incorrect ?,0
43,The trolley rumbled through the tunnel.,Is the grammar of this sentence incorrect ?,0
44,The wagon rumbled down the road.,Is the grammar of this sentence incorrect ?,0
45,The bullets whistled past the house.,Is the grammar of this sentence incorrect ?,0
46,The knee replacement candidate groaned up the stairs.,Is the grammar of this sentence correct ?,1
47,The car honked down the road.,Is the grammar of this sentence incorrect ?,1
48,The dog barked out of the room.,Is the grammar of this sentence correct ?,0
49,The dog barked its way out of the room.,Is the grammar of this sentence incorrect ?,0
50,Bill whistled his way past the house.,Is the grammar of this sentence incorrect ?,0
51,The witch vanished into the forest.,Is the grammar of this sentence incorrect ?,0
52,Bill disappeared down the road.,Is the grammar of this sentence incorrect ?,0
53,The witch went into the forest by vanishing.,Is the grammar of this sentence incorrect ?,1
54,The witch went into the forest and thereby vanished.,Is the grammar of this sentence correct ?,1
55,The building is tall and wide.,Is the grammar of this sentence correct ?,1
56,The building is tall and tall.,Is the grammar of this sentence correct ?,0
57,This building is taller and wider than that one.,Is the grammar of this sentence correct ?,1
58,This building got taller and wider than that one.,Is the grammar of this sentence incorrect ?,0
59,This building got taller and taller.,Is the grammar of this sentence correct ?,1
60,This building is taller and taller.,Is the grammar of this sentence correct ?,0
61,This building got than that one.,Is the grammar of this sentence correct ?,0
62,This building is than that one.,Is the grammar of this sentence correct ?,0
63,Bill floated into the cave.,Is the grammar of this sentence incorrect ?,0
64,Bill floated into the cave for hours.,Is the grammar of this sentence incorrect ?,1
65,Bill pushed Harry off the sofa for hours.,Is the grammar of this sentence incorrect ?,1
66,Bill floated down the river for hours.,Is the grammar of this sentence incorrect ?,0
67,Bill floated down the river.,Is the grammar of this sentence incorrect ?,0
68,Bill pushed Harry along the trail for hours.,Is the grammar of this sentence incorrect ?,0
69,Bill pushed Harry along the trail.,Is the grammar of this sentence incorrect ?,0
70,The road zigzagged down the hill.,Is the grammar of this sentence correct ?,1
71,The rope stretched over the pulley.,Is the grammar of this sentence incorrect ?,0
72,The weights stretched the rope over the pulley.,Is the grammar of this sentence correct ?,1
73,The weights kept the rope stretched over the pulley.,Is the grammar of this sentence correct ?,1
74,Sam cut himself free.,Is the grammar of this sentence incorrect ?,0
75,Sam got free by cutting his finger.,Is the grammar of this sentence incorrect ?,0
76,Bill cried himself to sleep.,Is the grammar of this sentence correct ?,1
77,Bill cried Sue to sleep.,Is the grammar of this sentence incorrect ?,1
78,Bill squeezed himself through the hole.,Is the grammar of this sentence incorrect ?,0
79,Bill sang himself to sleep.,Is the grammar of this sentence incorrect ?,0
80,Bill squeezed the puppet through the hole.,Is the grammar of this sentence incorrect ?,0
81,Bill sang Sue to sleep.,Is the grammar of this sentence incorrect ?,0
82,The elevator rumbled itself to the ground.,Is the grammar of this sentence incorrect ?,1
