,label,context
0,1,One more pseudo generalization and I'm giving up.
1,1,One more pseudo generalization or I'm giving up.
2,1,"The more we study verbs, the crazier they get."
3,1,Day by day the facts are getting murkier.
4,1,I'll fix you a drink.
5,1,Fred watered the plants flat.
6,1,Bill coughed his way out of the restaurant.
7,1,We're dancing the night away.
8,1,Herman hammered the metal flat.
9,1,The critics laughed the play off the stage.
10,1,The pond froze solid.
11,1,Bill rolled out of the room.
12,1,The gardener watered the flowers flat.
13,1,The gardener watered the flowers.
14,1,Bill broke the bathtub into pieces.
15,1,Bill broke the bathtub.
16,1,They drank the pub dry.
17,0,They drank the pub.
18,1,The professor talked us into a stupor.
19,0,The professor talked us.
20,1,We yelled ourselves hoarse.
21,0,We yelled ourselves.
22,0,We yelled Harry hoarse.
23,1,Harry coughed himself into a fit.
24,0,Harry coughed himself.
25,0,Harry coughed us into a fit.
26,1,Bill followed the road into the forest.
27,1,We drove Highway 5 from SD to SF.
28,1,Fred tracked the leak to its source.
29,1,John danced waltzes across the room.
30,1,Bill urinated out the window.
31,1,Bill coughed out the window.
32,1,Bill bled on the floor.
33,1,The toilet leaked through the floor into the kitchen below.
34,1,Bill ate off the floor.
35,1,Bill drank from the hose.
36,1,This metal hammers flat easily.
37,1,They made him president.
38,1,They made him angry.
39,0,They caused him to become angry by making him.
40,0,They caused him to become president by making him.
41,0,They made him to exhaustion.
42,1,They made him into a monster.
43,1,The trolley rumbled through the tunnel.
44,1,The wagon rumbled down the road.
45,1,The bullets whistled past the house.
46,1,The knee replacement candidate groaned up the stairs.
47,0,The car honked down the road.
48,0,The dog barked out of the room.
49,1,The dog barked its way out of the room.
50,1,Bill whistled his way past the house.
51,1,The witch vanished into the forest.
52,1,Bill disappeared down the road.
53,0,The witch went into the forest by vanishing.
54,1,The witch went into the forest and thereby vanished.
55,1,The building is tall and wide.
56,0,The building is tall and tall.
57,1,This building is taller and wider than that one.
58,1,This building got taller and wider than that one.
59,1,This building got taller and taller.
60,0,This building is taller and taller.
61,0,This building got than that one.
62,0,This building is than that one.
63,1,Bill floated into the cave.
64,0,Bill floated into the cave for hours.
65,0,Bill pushed Harry off the sofa for hours.
66,1,Bill floated down the river for hours.
67,1,Bill floated down the river.
68,1,Bill pushed Harry along the trail for hours.
69,1,Bill pushed Harry along the trail.
70,1,The road zigzagged down the hill.
71,1,The rope stretched over the pulley.
72,1,The weights stretched the rope over the pulley.
73,1,The weights kept the rope stretched over the pulley.
74,1,Sam cut himself free.
75,1,Sam got free by cutting his finger.
76,1,Bill cried himself to sleep.
77,0,Bill cried Sue to sleep.
78,1,Bill squeezed himself through the hole.
79,1,Bill sang himself to sleep.
80,1,Bill squeezed the puppet through the hole.
81,1,Bill sang Sue to sleep.
82,0,The elevator rumbled itself to the ground.
83,1,"If the telephone rang, it could ring itself silly."
84,0,She yelled hoarse.
85,0,Ted cried to sleep.
86,1,The tiger bled to death.
87,1,"He coughed awake and we were all overjoyed, especially Sierra."
88,1,"John coughed awake, rubbing his nose and cursing under his breath."
89,1,John coughed himself awake on the bank of the lake where he and Bill had their play.
90,1,Ron yawned himself awake.
91,1,She coughed herself awake as the leaf landed on her nose.
92,1,The worm wriggled onto the carpet.
93,1,The chocolate melted onto the carpet.
94,0,The ball wriggled itself loose.
95,1,Bill wriggled himself loose.
96,1,Aliza wriggled her tooth loose.
97,1,The off center spinning flywheel shook itself loose.
98,1,"The more you eat, the less you want."
99,1,"If you eat more, you want correspondingly less."
100,1,"When you eat more, you want correspondingly less."
101,1,"As you eat more, you want correspondingly less."
102,0,"The most you want, the least you eat."
103,1,"The angrier Sue gets, the more Fred admires her."
104,1,"The more that you eat, the less that you want."
105,1,"The angrier that Sue gets, the more that Fred admires her."
106,1,"I think that the more you eat, the less you want."
107,1,"I'm not shocked by the idea that the more you eat, the less you want."
108,1,"It is obvious that the more you eat, the less you want."
109,1,"It is not entirely clear if the more you eat, the less you want."
110,1,"I want to explain exactly why the more you eat, the less you want."
111,1,"I demand that the more John eats, the more he pays."
112,0,"I demand that the more John eat, the more he pay."
113,1,"I demand that John pay more, the more he eats."
114,0,"I demand that John pays more, the more he eat."
115,1,"You get angrier, the more we eat, don't you."
116,0,"You get angrier, the more we eat, don't we."
117,0,"The harder it has rained, how much faster a flow that appears in the river?"
118,1,"The harder it has rained, how much faster a flow appears in the river?"
119,0,"The harder it rains, how much faster that do you run?"
120,1,"The harder it rains, how much faster do you run?"
121,1,"The harder it rains, how much faster a flow do you see in the river?"
122,0,"The harder it rains, how much faster a flow that do you see in the river?"
123,1,"When it rains harder, how much faster a flow appears in the river?"
124,1,"As it rains harder, how much faster a flow appears in the river?"
125,0,"As it rains harder, how much faster a flow that appears in the river?"
126,0,"When it rains harder, how much faster a flow that appears in the river?"
127,1,"How much harder has it rained, the faster a flow you see in the river?"
128,1,"How much harder has it rained, when you see a faster flow in the river?"
129,0,"The more John eats, the tighter keep your mouth shut about it."
130,0,"The more everyone eat, the more John keeps his big mouth shut about it, OK?"
131,1,"When John eats more, keep your mouth shut tighter, OK?"
132,1,"As John eats more, keep your mouth shut tighter, OK?"
133,1,"Keep your mouth shut tighter, the more John eats, OK?"
134,1,"Everyone keep your mouth shut tighter, the more John eats, OK?"
135,0,"I can well imagine the more him eating, the fatter him getting."
136,1,Bill can well imagine getting fat.
137,0,"Bill can well imagine the more he eats, the fatter getting."
138,1,"Fred can well imagine Joe getting fatter, the more he eats."
139,0,"It is important the more you eat, the more careful to be."
